name,local_dir,url,default_branch,head_sha,commit_date,description,language,size_kb,archived,license,topics
.github,.github,https://github.com/quantmind/.github,main,9153995bb14e0d0f35fff5212d1b42067e6132d2,2025-03-26T15:18:21+00:00,quantmind readme,,3,False,UNKNOWN,
agile-toolkit,agile-toolkit,https://github.com/quantmind/agile-toolkit,master,6c0cd1b846fa205f9e44a9034ef9b45655b613b6,2020-08-03T18:04:26+01:00,Tools for agile development in python,Python,99,True,BSD-3-Clause,
aio-fluid,aio-fluid,https://github.com/quantmind/aio-fluid,main,4ab386b6699dd24ec3fd2b568dfb50bb2a534340,2026-08-09T15:36:43+01:00,An async task queue that offloads CPU-bound work to subprocesses or Kubernetes Jobs,Python,8612,False,BSD-3-Clause,"asyncio,cpu,fastapi,kubernetes,postgresql,redis,task-scheduler,tasks"
aio-kong,aio-kong,https://github.com/quantmind/aio-kong,main,49a10bda753a7e296af685a24ac029b7c6ad3008,2025-06-28T14:45:13+01:00,Asynchronous python client for kong,Python,649,False,BSD-3-Clause,
aio-openapi,aio-openapi,https://github.com/quantmind/aio-openapi,main,afe56f7b36cadf32643569b8ffce63da29802801,2023-08-31T21:48:01+01:00,"A python module for building OpenAPI compliant asynchronous Rest Servers. Auto documentation, serialization and validation in the same unified API.",Python,1507,True,BSD-3-Clause,"aiohttp,asyncio,database,dataclasses,openapi-documentation,openapi3,postgresql,rest-api,validation-library,websockets"
ansible-openresty,ansible-openresty,https://github.com/quantmind/ansible-openresty,master,6f312f9e69e327d7cac3853a49c179274ce3cbe7,2017-02-04T18:57:02+00:00,Openresty docker image and configuration,,27,True,BSD-3-Clause,"ansible,docker,lua,nginx,openresty,postgresql"
awesome-data-science-viz,awesome-data-science-viz,https://github.com/quantmind/awesome-data-science-viz,master,79d72e0bcd9e4571cc1756dc102c0cd6be9950df,2022-10-15T10:59:25+01:00,":boom: :chart_with_upwards_trend: A curated list of data science, analysis and visualization tools",,33,False,UNKNOWN,"algorithm,awesome,awesome-list,javscript,machine-learning,nlp,python,reference,resources"
awesome-open-finance,awesome-open-finance,https://github.com/quantmind/awesome-open-finance,master,3cbcade0f39cad5c0fcaeaa6f5073d625fbd2522,2018-12-17T17:36:39+00:00,A curated list of open finance and open banking resources,,10,False,UNKNOWN,"api,awesome,awesome-list,banking,finance,payment"
benchmarking,benchmarking,https://github.com/quantmind/benchmarking,master,68cd1fa0cd0711690004d61a4237ddadca6f69f9,2017-11-28T17:49:06+00:00,Random benchmarks,Python,2,False,BSD-3-Clause,
ccy,ccy,https://github.com/quantmind/ccy,main,9d163901059e40001b5f39f7a8cbac74ed323819,2026-03-28T21:47:20+00:00,python module for currencies,Python,1881,False,BSD-3-Clause,
d3-canvas-transition,d3-canvas-transition,https://github.com/quantmind/d3-canvas-transition,master,201ea2edea2792d3adc1d4ae835207320c59b55c,2017-07-18T22:23:24+01:00,transition on canvas with d3,JavaScript,261,True,BSD-3-Clause,"canvas,d3-module,d3js,svg,transition"
d3-fluid,d3-fluid,https://github.com/quantmind/d3-fluid,master,2db980acc9740dd726cde67a00d005d71d5d41c9,2018-04-07T11:49:24+01:00,Micro web framework with d3-view and express and markdown,JavaScript,369,True,BSD-3-Clause,
d3-let,d3-let,https://github.com/quantmind/d3-let,master,04581127f5dd5594086ba929f9eeb6b578d49cc8,2018-01-12T22:29:34+00:00,d3 plugin with common utilities - import what you need if you need it,JavaScript,89,True,BSD-3-Clause,"d3,d3-module,d3js"
d3-quant,d3-quant,https://github.com/quantmind/d3-quant,master,b803c89c286f91d9955db7d0b3007cfb4cb8f939,2020-07-17T15:04:14+01:00,D3 plugin for quantitative data analysis (pre-alpha),TypeScript,1660,False,BSD-3-Clause,"clustering,d3,d3-module,d3js,time-series"
d3-view,d3-view,https://github.com/quantmind/d3-view,master,014e8233fd3beacc454f63c8c054405e2506ae8e,2018-10-01T13:03:32+01:00,d3 plugin for :sunny: web interfaces,JavaScript,1749,True,BSD-3-Clause,"bootstrap4,d3,d3-module,d3-view,d3js,form,forms,modal,reactive,ui,viewcontroller"
d3-view-components,d3-view-components,https://github.com/quantmind/d3-view-components,master,6ed167a6962083f5010ea7dee6e96a23c837f70c,2018-01-24T08:19:46+00:00,Collection of reusable components for d3-view - pre-alpha,JavaScript,460,True,BSD-3-Clause,"d3-view,d3js,reactive"
d3-visualize,d3-visualize,https://github.com/quantmind/d3-visualize,master,67dac5a3ea5146eb70eb975667b49cf3827a5df7,2018-01-16T22:13:06+00:00,Reactive d3 data visualisation components - pre-alpha,JavaScript,446,True,BSD-3-Clause,"d3-module,d3-view,d3js,data,grid,table"
datastructures,datastructures,https://github.com/quantmind/datastructures,master,2543dc92e3df5836af3a797cc4949d58b392c28a,2017-06-26T22:10:01+01:00,Data Structures,Python,249,False,BSD-3-Clause,"algorithm,data,tree"
dispatchers,dispatchers,https://github.com/quantmind/dispatchers,main,b5f589317e6c7dd8c15f4fa618421a2b2e9a7a0c,2023-09-07T23:04:35+01:00,Message dispatchers for rust,Rust,57,False,MIT,"asynchronous,message"
dynts,dynts,https://github.com/quantmind/dynts,master,21ac57c648bfec402fa6b1fe569496cf098fb5e8,2016-11-02T13:02:42+00:00,Python package for timeseries analysis and manipulation,Python,1189,True,BSD-3-Clause,
giotto,giotto,https://github.com/quantmind/giotto,master,85f42d4899d1424ef0b531cafcf09f4456f1dbc9,2016-12-02T19:07:27+00:00,d3 based visualization library - svg & canvas,JavaScript,9777,True,BSD-3-Clause,
giottojs.org,giottojs.org,https://github.com/quantmind/giottojs.org,master,da11b7bc6d6d7a914dffbf5fb7dba991e7de4b38,2018-10-01T07:31:27+00:00,giottojs.org website,JavaScript,7582,True,BSD-3-Clause,
goview,goview,https://github.com/quantmind/goview,master,d66a3d91322d6ebf3149654cf5ae07ac7ec7f0e8,2017-12-07T08:50:20+00:00,Simple web app with python 3 & flask,Python,75,True,UNKNOWN,"flask,python,webapp"
jflib,jflib,https://github.com/quantmind/jflib,master,cc240d2982f1f1e7e9a8629a5db3be434d0f207d,2010-04-19T23:04:51+01:00,C++ utilities for timeseries analysis,C++,21555,True,BSD-3-Clause,
kollector,kollector,https://github.com/quantmind/kollector,main,ca09445cfc9f69299c7b52919a25c9459fd42997,2022-06-19T18:30:00+02:00,Collect orderbook data from crypto exchanges and publish as GRPC,Rust,3708,False,MIT,"cryptocurrency,orderbook"
lux,lux,https://github.com/quantmind/lux,master,7318fcd86c77616aada41d8182a04339680a554c,2018-01-06T09:28:30+00:00,Asynchronous web toolkit for python - alpha,Python,9583,True,BSD-3-Clause,"asyncio,pulsar,python,webframework"
metablock-ingress,metablock-ingress,https://github.com/quantmind/metablock-ingress,main,bc8ebeaa8d3aa4ed7829707c9bb8df4fe7b7ef99,2025-06-15T17:41:55+01:00,Actions for configuring a block ingress,Makefile,8,False,BSD-3-Clause,
metablock-js,metablock-js,https://github.com/quantmind/metablock-js,main,f1fedc4013fe25685bf66eec72f0c1b988e661cd,2023-08-20T17:38:47+01:00,TypeScript tools for the metablock cloud. It includes the core library for managing front-end blocks and a webpack dev server for block development.,TypeScript,2718,True,ISC,"cloud,cms,metablock,notebook,react"
metablock-py,metablock-py,https://github.com/quantmind/metablock-py,main,9901c6b518260dc8edd3fb1bf2c37f19cd19447c,2026-03-02T19:14:06+00:00,An asynchronous Python client for Metablock REST API,Python,332,False,BSD-3-Clause,"client,metablock"
metablock-web,metablock-web,https://github.com/quantmind/metablock-web,main,1f39fdcec70add0760b1cd3df3767bc3c9fb4489,2026-01-17T21:13:13+00:00,Github action to deploy a new release of your web site to metablock cloud,CSS,245,True,ISC,"cloud,metablock"
pulsar,pulsar,https://github.com/quantmind/pulsar,master,fee44e871954aa6ca36d00bb5a3739abfdb89b26,2018-01-11T23:14:27+00:00,Event driven concurrent framework for Python,Python,47638,True,BSD-3-Clause,"asyncio,greenlet,http,http-server,multiprocessing,python,rpc,test-framework,wsgi"
pulsar-agile,pulsar-agile,https://github.com/quantmind/pulsar-agile,master,d431a249fcd6ac16efe9437b4f9d239ebccbc8b2,2016-10-23T17:51:49+01:00,Toolkit for agile development/deployment with python,Python,245,True,BSD-3-Clause,
pulsar-bench,pulsar-bench,https://github.com/quantmind/pulsar-bench,master,29ca7d6d569765904eba68dea5c637d2326109af,2017-11-23T20:49:12+00:00,Benchmarking HTTP servers,Python,651,True,UNKNOWN,"asyncio,benchmark,docker,http,nodejs,pulsar,python3"
pulsar-cloud,pulsar-cloud,https://github.com/quantmind/pulsar-cloud,master,dc2ff8ab5c9a1c2cfb1270581d30454d1a606cf9,2017-03-03T08:12:24+00:00,Asynchronous cloud clients - botocore - pusher,Python,164,True,BSD-3-Clause,
pulsar-django,pulsar-django,https://github.com/quantmind/pulsar-django,master,0aa20e1c08b6a782cd634e736e2238776e0c98d5,2017-11-28T10:18:34+00:00,django pulse application,Python,28,True,BSD-3-Clause,"asyncio,django,python-3,wsgi"
